,path,file_name,exp_id,sensor,frequency,activity_id,activity,activity_details
430,DataSet2/User21/257_Werable1_2020-10-31T14.59.49.530_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,257_Werable1_2020-10-31T14.59.49.530_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,257,Accelerometer,100.000Hz,5,While sitting,"Moving head, body"
431,DataSet2/User21/259_Werable1_2020-10-31T15.08.23.482_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,259_Werable1_2020-10-31T15.08.23.482_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,259,Pressure,7.330Hz,7,Sitting,Stand up from sitting
432,DataSet2/User21/260_Werable1_2020-10-31T15.11.37.108_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,260_Werable1_2020-10-31T15.11.37.108_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,260,Pressure,7.330Hz,8,Standing,Standing
433,DataSet2/User21/259_Werable1_2020-10-31T15.08.23.482_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,259_Werable1_2020-10-31T15.08.23.482_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,259,Gyroscope,100.000Hz,7,Sitting,Stand up from sitting
434,DataSet2/User21/255_Werable1_2020-10-31T14.52.04.300_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,255_Werable1_2020-10-31T14.52.04.300_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,255,Magnetometer,20.000Hz,3,Using computer,Typing
435,DataSet2/User21/266_Werable1_2020-10-31T15.21.16.322_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,266_Werable1_2020-10-31T15.21.16.322_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,266,Magnetometer,20.000Hz,14,Sitting,Pick up items from floor
436,DataSet2/User21/253_Werable1_2020-10-31T14.45.39.238_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,253_Werable1_2020-10-31T14.45.39.238_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,253,Gyroscope,100.000Hz,1,Sitting,Reading a book
437,DataSet2/User21/263_Werable1_2020-10-31T15.37.23.969_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,263_Werable1_2020-10-31T15.37.23.969_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,263,Accelerometer,100.000Hz,11,Standing,Taking stairs
438,DataSet2/User21/262_Werable1_2020-10-31T15.34.11.374_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,262_Werable1_2020-10-31T15.34.11.374_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,262,Pressure,7.330Hz,10,Standing,Running
439,DataSet2/User21/266_Werable1_2020-10-31T15.21.16.322_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,266_Werable1_2020-10-31T15.21.16.322_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,266,Pressure,7.330Hz,14,Sitting,Pick up items from floor
440,DataSet2/User21/256_Werable1_2020-10-31T14.55.32.446_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,256_Werable1_2020-10-31T14.55.32.446_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,256,Accelerometer,100.000Hz,4,Using computer,Browsing
441,DataSet2/User21/257_Werable1_2020-10-31T14.59.49.530_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,257_Werable1_2020-10-31T14.59.49.530_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,257,Magnetometer,20.000Hz,5,While sitting,"Moving head, body"
442,DataSet2/User21/256_Werable1_2020-10-31T14.55.32.446_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,256_Werable1_2020-10-31T14.55.32.446_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,256,Pressure,7.330Hz,4,Using computer,Browsing
443,DataSet2/User21/256_Werable1_2020-10-31T14.55.32.446_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,256_Werable1_2020-10-31T14.55.32.446_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,256,Magnetometer,20.000Hz,4,Using computer,Browsing
444,DataSet2/User21/254_Werable1_2020-10-31T14.48.58.580_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,254_Werable1_2020-10-31T14.48.58.580_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,254,Pressure,7.330Hz,2,Sitting,Writing in a notebook
445,DataSet2/User21/262_Werable1_2020-10-31T15.34.11.374_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,262_Werable1_2020-10-31T15.34.11.374_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,262,Magnetometer,20.000Hz,10,Standing,Running
446,DataSet2/User21/264_Werable1_2020-10-31T15.15.17.858_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,264_Werable1_2020-10-31T15.15.17.858_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,264,Pressure,7.330Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
447,DataSet2/User21/261_Werable1_2020-10-31T15.31.07.726_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,261_Werable1_2020-10-31T15.31.07.726_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,261,Pressure,7.330Hz,9,Standing,Walking
448,DataSet2/User21/267_Werable1_2020-10-31T15.26.55.663_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,267_Werable1_2020-10-31T15.26.55.663_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,267,Magnetometer,20.000Hz,15,Standing,Pick up items from floor
449,DataSet2/User21/267_Werable1_2020-10-31T15.26.55.663_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,267_Werable1_2020-10-31T15.26.55.663_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,267,Pressure,7.330Hz,15,Standing,Pick up items from floor
450,DataSet2/User21/265_Werable1_2020-10-31T15.18.07.893_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,265_Werable1_2020-10-31T15.18.07.893_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,265,Magnetometer,20.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
451,DataSet2/User21/265_Werable1_2020-10-31T15.18.07.893_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,265_Werable1_2020-10-31T15.18.07.893_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,265,Gyroscope,100.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
452,DataSet2/User21/262_Werable1_2020-10-31T15.34.11.374_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,262_Werable1_2020-10-31T15.34.11.374_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,262,Gyroscope,100.000Hz,10,Standing,Running
453,DataSet2/User26/332_MetaWear_2021-08-01T18.48.07.620_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,332_MetaWear_2021-08-01T18.48.07.620_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,332,Magnetometer,20.000Hz,7,Sitting,Stand up from sitting
454,DataSet2/User26/329_MetaWear_2021-08-01T19.03.09.758_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,329_MetaWear_2021-08-01T19.03.09.758_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,329,Magnetometer,20.000Hz,4,Using computer,Browsing
455,DataSet2/User26/335_MetaWear_2021-08-01T19.12.51.483_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,335_MetaWear_2021-08-01T19.12.51.483_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,335,Pressure,7.330Hz,11,Standing,Taking stairs
456,DataSet2/User26/330_MetaWear_2021-08-01T18.39.57.772_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,330_MetaWear_2021-08-01T18.39.57.772_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,330,Gyroscope,100.000Hz,5,While sitting,"Moving head, body"
457,DataSet2/User26/330_MetaWear_2021-08-01T18.39.57.772_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,330_MetaWear_2021-08-01T18.39.57.772_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,330,Pressure,7.330Hz,5,While sitting,"Moving head, body"
458,DataSet2/User26/336_MetaWear_2021-08-01T18.51.32.072_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,336_MetaWear_2021-08-01T18.51.32.072_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,336,Pressure,7.330Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
459,DataSet2/User26/331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,331,Pressure,7.330Hz,6,While sitting,Moving chair
460,DataSet2/User26/336_MetaWear_2021-08-01T18.51.32.072_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,336_MetaWear_2021-08-01T18.51.32.072_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,336,Gyroscope,100.000Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
461,DataSet2/User26/329_MetaWear_2021-08-01T19.03.09.758_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,329_MetaWear_2021-08-01T19.03.09.758_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,329,Gyroscope,100.000Hz,4,Using computer,Browsing
462,DataSet2/User26/335_MetaWear_2021-08-01T19.12.51.483_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,335_MetaWear_2021-08-01T19.12.51.483_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,335,Gyroscope,100.000Hz,11,Standing,Taking stairs
464,DataSet2/User26/333_MetaWear_2021-08-01T18.58.56.730_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,333_MetaWear_2021-08-01T18.58.56.730_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,333,Magnetometer,20.000Hz,8,Standing,Standing
465,DataSet2/User26/330_MetaWear_2021-08-01T18.39.57.772_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,330_MetaWear_2021-08-01T18.39.57.772_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,330,Magnetometer,20.000Hz,5,While sitting,"Moving head, body"
466,DataSet2/User26/331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,331,Gyroscope,100.000Hz,6,While sitting,Moving chair
468,DataSet2/User26/333_MetaWear_2021-08-01T18.58.56.730_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,333_MetaWear_2021-08-01T18.58.56.730_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,333,Gyroscope,100.000Hz,8,Standing,Standing
469,DataSet2/User26/336_MetaWear_2021-08-01T18.51.32.072_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,336_MetaWear_2021-08-01T18.51.32.072_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,336,Magnetometer,20.000Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
472,DataSet2/User26/328_MetaWear_2021-08-01T19.06.16.706_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,328_MetaWear_2021-08-01T19.06.16.706_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,328,Pressure,7.330Hz,3,Using computer,Typing
473,DataSet2/User26/326_MetaWear_2021-08-01T18.31.35.749_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,326_MetaWear_2021-08-01T18.31.35.749_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,326,Pressure,7.330Hz,1,Sitting,Reading a book
474,DataSet2/User26/329_MetaWear_2021-08-01T19.03.09.758_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,329_MetaWear_2021-08-01T19.03.09.758_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,329,Pressure,7.330Hz,4,Using computer,Browsing
475,DataSet2/User26/337_MetaWear_2021-08-01T18.54.33.147_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,337_MetaWear_2021-08-01T18.54.33.147_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,337,Gyroscope,100.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
476,DataSet2/User26/333_MetaWear_2021-08-01T18.58.56.730_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,333_MetaWear_2021-08-01T18.58.56.730_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,333,Pressure,7.330Hz,8,Standing,Standing
477,DataSet2/User26/331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Accelerometer_100.000Hz_1.5.1 (1).csv,331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Accelerometer_100.000Hz_1.5.1 (1).csv,331,Accelerometer,100.000Hz,6,While sitting,Moving chair
478,DataSet2/User26/326_MetaWear_2021-08-01T18.31.35.749_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,326_MetaWear_2021-08-01T18.31.35.749_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,326,Gyroscope,100.000Hz,1,Sitting,Reading a book
479,DataSet2/User26/332_MetaWear_2021-08-01T18.48.07.620_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,332_MetaWear_2021-08-01T18.48.07.620_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,332,Gyroscope,100.000Hz,7,Sitting,Stand up from sitting
480,DataSet2/User26/333_MetaWear_2021-08-01T18.58.56.730_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,333_MetaWear_2021-08-01T18.58.56.730_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,333,Accelerometer,100.000Hz,8,Standing,Standing
481,DataSet2/User26/332_MetaWear_2021-08-01T18.48.07.620_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,332_MetaWear_2021-08-01T18.48.07.620_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,332,Pressure,7.330Hz,7,Sitting,Stand up from sitting
482,DataSet2/User26/326_MetaWear_2021-08-01T18.31.35.749_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,326_MetaWear_2021-08-01T18.31.35.749_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,326,Accelerometer,100.000Hz,1,Sitting,Reading a book
483,DataSet2/User26/332_MetaWear_2021-08-01T18.48.07.620_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,332_MetaWear_2021-08-01T18.48.07.620_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,332,Accelerometer,100.000Hz,7,Sitting,Stand up from sitting
484,DataSet2/User26/328_MetaWear_2021-08-01T19.06.16.706_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,328_MetaWear_2021-08-01T19.06.16.706_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,328,Accelerometer,100.000Hz,3,Using computer,Typing
485,DataSet2/User26/337_MetaWear_2021-08-01T18.54.33.147_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,337_MetaWear_2021-08-01T18.54.33.147_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,337,Pressure,7.330Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
486,DataSet2/User26/328_MetaWear_2021-08-01T19.06.16.706_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,328_MetaWear_2021-08-01T19.06.16.706_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,328,Magnetometer,20.000Hz,3,Using computer,Typing
487,DataSet2/User26/336_MetaWear_2021-08-01T18.51.32.072_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,336_MetaWear_2021-08-01T18.51.32.072_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,336,Accelerometer,100.000Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
488,DataSet2/User26/329_MetaWear_2021-08-01T19.03.09.758_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,329_MetaWear_2021-08-01T19.03.09.758_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,329,Accelerometer,100.000Hz,4,Using computer,Browsing
489,DataSet2/User26/337_MetaWear_2021-08-01T18.54.33.147_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,337_MetaWear_2021-08-01T18.54.33.147_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,337,Magnetometer,20.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
490,DataSet2/User26/331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,331,Accelerometer,100.000Hz,6,While sitting,Moving chair
491,DataSet2/User26/337_MetaWear_2021-08-01T18.54.33.147_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,337_MetaWear_2021-08-01T18.54.33.147_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,337,Accelerometer,100.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
492,DataSet2/User26/335_MetaWear_2021-08-01T19.12.51.483_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,335_MetaWear_2021-08-01T19.12.51.483_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,335,Accelerometer,100.000Hz,11,Standing,Taking stairs
493,DataSet2/User26/330_MetaWear_2021-08-01T18.39.57.772_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,330_MetaWear_2021-08-01T18.39.57.772_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,330,Accelerometer,100.000Hz,5,While sitting,"Moving head, body"
494,DataSet2/User26/335_MetaWear_2021-08-01T19.12.51.483_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,335_MetaWear_2021-08-01T19.12.51.483_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,335,Magnetometer,20.000Hz,11,Standing,Taking stairs
495,DataSet2/User26/328_MetaWear_2021-08-01T19.06.16.706_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,328_MetaWear_2021-08-01T19.06.16.706_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,328,Gyroscope,100.000Hz,3,Using computer,Typing
498,DataSet2/User26/331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,331_MetaWear_2021-08-01T18.44.01.073_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,331,Magnetometer,20.000Hz,6,While sitting,Moving chair
499,DataSet2/User19/235_Werable1_2020-10-25T13.11.52.337_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,235_Werable1_2020-10-25T13.11.52.337_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,235,Accelerometer,100.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
500,DataSet2/User19/229_Werable1_2020-10-25T12.52.56.325_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,229_Werable1_2020-10-25T12.52.56.325_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,229,Accelerometer,100.000Hz,7,Sitting,Stand up from sitting
501,DataSet2/User19/230_Werable1_2020-10-25T13.05.20.867_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,230_Werable1_2020-10-25T13.05.20.867_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,230,Gyroscope,100.000Hz,8,Standing,Standing
502,DataSet2/User19/223_Werable1_2020-10-25T12.30.44.913_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,223_Werable1_2020-10-25T12.30.44.913_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,223,Magnetometer,20.000Hz,1,Sitting,Reading a book
503,DataSet2/User19/228new_Werable1_2020-10-25T13.01.06.882_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,228new_Werable1_2020-10-25T13.01.06.882_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,228,Pressure,7.330Hz,6,While sitting,Moving chair
504,DataSet2/User19/233_Werable1_2020-10-25T13.27.36.313_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,233_Werable1_2020-10-25T13.27.36.313_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,233,Accelerometer,100.000Hz,11,Standing,Taking stairs
505,DataSet2/User19/225_Werable1_2020-10-25T12.38.53.195_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,225_Werable1_2020-10-25T12.38.53.195_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,225,Accelerometer,100.000Hz,3,Using computer,Typing
506,DataSet2/User19/236_Werable1_2020-10-25T13.15.11.047_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,236_Werable1_2020-10-25T13.15.11.047_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,236,Magnetometer,20.000Hz,14,Sitting,Pick up items from floor
507,DataSet2/User19/235_Werable1_2020-10-25T13.11.52.337_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,235_Werable1_2020-10-25T13.11.52.337_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,235,Gyroscope,100.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
508,DataSet2/User19/236_Werable1_2020-10-25T13.15.11.047_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,236_Werable1_2020-10-25T13.15.11.047_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,236,Accelerometer,100.000Hz,14,Sitting,Pick up items from floor
509,DataSet2/User19/237_Werable1_2020-10-25T13.18.23.119_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,237_Werable1_2020-10-25T13.18.23.119_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,237,Pressure,7.330Hz,15,Standing,Pick up items from floor
510,DataSet2/User19/237_Werable1_2020-10-25T13.18.23.119_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,237_Werable1_2020-10-25T13.18.23.119_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,237,Gyroscope,100.000Hz,15,Standing,Pick up items from floor
511,DataSet2/User19/224_Werable1_2020-10-25T12.34.27.188_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,224_Werable1_2020-10-25T12.34.27.188_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,224,Gyroscope,100.000Hz,2,Sitting,Writing in a notebook
512,DataSet2/User19/224_Werable1_2020-10-25T12.34.27.188_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,224_Werable1_2020-10-25T12.34.27.188_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,224,Magnetometer,20.000Hz,2,Sitting,Writing in a notebook
513,DataSet2/User19/227new_Werable1_2020-10-25T12.57.54.156_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,227new_Werable1_2020-10-25T12.57.54.156_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,227,Accelerometer,100.000Hz,5,While sitting,"Moving head, body"
514,DataSet2/User19/229_Werable1_2020-10-25T12.52.56.325_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,229_Werable1_2020-10-25T12.52.56.325_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,229,Magnetometer,20.000Hz,7,Sitting,Stand up from sitting
515,DataSet2/User19/224_Werable1_2020-10-25T12.34.27.188_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,224_Werable1_2020-10-25T12.34.27.188_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,224,Pressure,7.330Hz,2,Sitting,Writing in a notebook
516,DataSet2/User19/229_Werable1_2020-10-25T12.52.56.325_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,229_Werable1_2020-10-25T12.52.56.325_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,229,Gyroscope,100.000Hz,7,Sitting,Stand up from sitting
517,DataSet2/User19/223_Werable1_2020-10-25T12.30.44.913_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,223_Werable1_2020-10-25T12.30.44.913_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,223,Pressure,7.330Hz,1,Sitting,Reading a book
518,DataSet2/User19/237_Werable1_2020-10-25T13.18.23.119_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,237_Werable1_2020-10-25T13.18.23.119_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,237,Accelerometer,100.000Hz,15,Standing,Pick up items from floor
519,DataSet2/User19/231_Werable1_2020-10-25T13.21.42.088_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,231_Werable1_2020-10-25T13.21.42.088_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,231,Accelerometer,100.000Hz,9,Standing,Walking
520,DataSet2/User19/234_Werable1_2020-10-25T13.09.02.104_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,234_Werable1_2020-10-25T13.09.02.104_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,234,Pressure,7.330Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
521,DataSet2/User19/226_Werable1_2020-10-25T12.42.30.274_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,226_Werable1_2020-10-25T12.42.30.274_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,226,Magnetometer,20.000Hz,4,Using computer,Browsing
522,DataSet2/User19/225_Werable1_2020-10-25T12.38.53.195_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,225_Werable1_2020-10-25T12.38.53.195_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,225,Gyroscope,100.000Hz,3,Using computer,Typing
523,DataSet2/User19/227new_Werable1_2020-10-25T12.57.54.156_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,227new_Werable1_2020-10-25T12.57.54.156_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,227,Magnetometer,20.000Hz,5,While sitting,"Moving head, body"
524,DataSet2/User19/233_Werable1_2020-10-25T13.27.36.313_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,233_Werable1_2020-10-25T13.27.36.313_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,233,Pressure,7.330Hz,11,Standing,Taking stairs
525,DataSet2/User19/228new_Werable1_2020-10-25T13.01.06.882_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,228new_Werable1_2020-10-25T13.01.06.882_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,228,Gyroscope,100.000Hz,6,While sitting,Moving chair
526,DataSet2/User19/233_Werable1_2020-10-25T13.27.36.313_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,233_Werable1_2020-10-25T13.27.36.313_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,233,Gyroscope,100.000Hz,11,Standing,Taking stairs
